       z      mass      cnfw      a      b
       1.0000000      -20.818180       29.394621       31.373491       612.57482
       1.0000000      -20.515150       29.255377       31.210398       594.80088
       1.0000000      -20.212120       29.071907       30.996828       577.30789
       1.0000000      -19.909090       28.846937       30.734446       560.09618
       1.0000000      -19.606060       28.611479       30.459906       543.16593
       1.0000000      -19.303030       28.373999       30.183153       526.51741
       1.0000000      -19.000000       28.134310       29.904116       510.15096
       1.0000000      -18.696968       27.892096       29.622835       494.06649
       1.0000000      -18.393938       27.646681       29.339361       478.26429
       1.0000000      -18.090908       27.399244       29.053734       462.74433
       1.0000000      -17.787878       27.149719       28.765993       447.50665
       1.0000000      -17.484848       26.898127       28.476307       432.55110
       1.0000000      -17.181816       26.644455       28.184782       417.87745
       1.0000000      -16.878788       26.388681       27.891560       403.48592
       1.0000000      -16.575756       26.129345       27.593189       389.37581
       1.0000000      -16.272726       25.867666       27.293009       375.54708
       1.0000000      -15.969697       25.603750       26.991428       361.99934
       1.0000000      -15.666667       25.337713       26.688696       348.73209
       1.0000000      -15.363636       25.069767       26.384762       335.74484
       1.0000000      -15.060606       24.800081       26.074623       323.03705
       1.0000000      -14.757576       24.528862       25.764053       310.60812
       1.0000000      -14.454545       24.253212       25.453407       298.45737
       1.0000000      -14.151515       23.974638       25.137529       286.58405
       1.0000000      -13.848485       23.695082       24.820341       274.98728
       1.0000000      -13.545454       23.414846       24.503349       263.66619
       1.0000000      -13.242424       23.128389       24.179916       252.61987
       1.0000000      -12.939394       22.841188       23.858448       241.84722
       1.0000000      -12.636363       22.553646       23.531040       231.34709
       1.0000000      -12.333333       22.259609       23.205227       221.11834
       1.0000000      -12.030303       21.966694       22.873394       211.15969
       1.0000000      -11.727273       21.668566       22.543076       201.46979
       1.0000000      -11.424242       21.370438       22.207661       192.04716
       1.0000000      -11.121212       21.067419       21.871193       182.89035
       1.0000000      -10.818182       20.765339       21.534540       173.99773
       1.0000000      -10.515151       20.456520       21.192938       165.36756
       1.0000000      -10.212121       20.147690       20.849758       156.99816
       1.0000000      -9.9090910       19.837282       20.505392       148.88761
       1.0000000      -9.6060600       19.521635       20.159410       141.03394
       1.0000000      -9.3030300       19.204678       19.811497       133.43517
       1.0000000      -9.0000000       18.885902       19.461411       126.08914
       1.0000000      -8.6969690       18.564886       19.109022       118.99358
       1.0000000      -8.3939390       18.241312       18.754349       112.14618
       1.0000000      -8.0909090       17.914961       18.397482       105.54453
       1.0000000      -7.7878790       17.585747       18.038671       99.186067
       1.0000000      -7.4848490       17.253714       17.678270       93.068171
       1.0000000      -7.1818171       16.919039       17.316755       87.188076
       1.0000000      -6.8787870       16.582047       16.954683       81.543009
       1.0000000      -6.5757570       16.243187       16.587955       76.129977
       1.0000000      -6.2727270       15.903036       16.221478       70.945918
       1.0000000      -5.9696970       15.558358       15.852874       65.987660
       1.0000000      -5.6666670       15.212433       15.483237       61.251911
